Terrain_Type,Algorithm,Mean_Error,Error_Std,Mean_Visited_Ratio,Success_Rate,Mean_Run_Time
basin,SA,2.3309001926591306,1.4204021450820583,2.72,0.0,0.001415419578552246
basin,BO,0.0,0.0,4.199999999999999,100.0,28.609127640724182
basin,SDIM,1.0900674902989564,0.7055912961700654,4.199999999999999,0.0,33.1617107629776
multi-peak,SA,2.7769103431799063,3.696531888207617,2.6239999999999997,20.0,0.0013987064361572266
multi-peak,BO,0.0,0.0,4.199999999999999,100.0,30.590563106536866
multi-peak,SDIM,1.4890111975202207,0.8980113627775548,4.199999999999999,0.0,37.47775254249573
hilly,SA,0.06246562969589645,0.03745994460086648,3.2359999999999998,0.0,0.0012993574142456054
hilly,BO,0.006947616306770314,0.006242482749155489,4.196,60.0,28.821278548240663
hilly,SDIM,0.02063197779794529,0.01951444417975903,4.199999999999999,40.0,33.16622431278229
noisy,SA,0.9060440474917941,0.4930848480203,2.536,10.0,0.0013077735900878906
noisy,BO,0.0,0.0,4.199999999999999,100.0,29.63154981136322
noisy,SDIM,0.8539133587305996,0.5115973206432909,4.199999999999999,10.0,35.314323735237124
complex,SA,2.2515824280225987,1.5190059838804277,2.58,0.0,0.0012739896774291992
complex,BO,0.0,0.0,4.199999999999999,100.0,30.071375846862793
complex,SDIM,1.747507112427114,1.2026079051217693,4.199999999999999,0.0,34.62956306934357
